t_s,h_m,V_mps,theta_rad,phi_rad,psi_rad,p_radps,q_radps,r_radps,ail_norm,ele_norm,rud_norm,thr_norm
0.0,100.00000027103178,19.98156524707153,-0.014713112966121319,6.194617163274403e-21,6.283185307179586,-1.5585406229479126e-18,0.047523853171149655,2.1175823681357508e-20,0.0,0.0758,0.0,0.3792
0.004,99.99997735500759,19.965897195455494,-0.014523004950061758,-2.638184517672917e-15,6.283185307151863,-2.0320801717211602e-10,0.08796177497959465,-1.3751822031584501e-08,0.0,0.0758,0.0,0.3792
0.008,99.99995219643321,19.952723125565477,-0.014171145251921462,-3.5256367238309115e-14,6.283185307045535,-9.896333815498587e-10,0.12155886116133886,-3.811185848758131e-08,0.0,0.0758,0.0,0.3792
0.012,99.9999211663515,19.94165568298301,-0.013684897223027244,-1.8876088257991397e-12,6.283185306822159,-2.6256115422167376e-09,0.14860128574006626,-7.02263574891685e-08,0.0,0.0758,0.0,0.3792
0.016,99.9998872249287,19.93236284562327,-0.01309047951016396,-8.654900522538932e-12,6.283185306454536,-5.333226847778136e-09,0.16942861473403464,-1.073893138050359e-07,0.0,0.0758,0.0,0.3792
0.02,99.99985334709213,19.92456375807655,-0.012412752495157213,-2.4543343568411867e-11,6.283185305926094,-9.264226087806501e-09,0.18442568917236316,-1.4714048886601512e-07,0.0,0.0758,0.0,0.3792
0.024,99.99982257362628,19.918021012229886,-0.01167503719443918,-5.455070428829349e-11,6.283185305229872,-1.450197496405414e-08,0.19401438164756962,-1.872901140433393e-07,0.0,0.0758,0.0,0.3792
0.028,99.9997979226063,19.912534089157624,-0.010898967133111,-1.0414575005500854e-10,6.2831853043674215,-2.1064155500849936e-08,0.19864545425648625,-2.2593720508679927e-07,0.0,0.0758,0.0,0.3792
0.032,99.99978233262453,19.90793380077664,-0.010104372787386568,-1.7895608141059622e-10,6.283185303347627,-2.8906738615446024e-08,0.19879062396143346,-2.6148026250745324e-07,0.0,0.0758,0.0,0.3792
0.036000000000000004,99.99977858557865,19.904077571550477,-0.00930919776560304,-2.8447459027606845e-10,6.283185302185505,-3.792906194511974e-08,0.19493493515343197,-2.926209343534609e-07,0.0,0.0758,0.0,0.3792
0.04,99.99978926920127,19.900845427511758,-0.008529445498897897,-4.257926061429162e-10,6.283185300900979,-4.797987913683708e-08,0.18756952697980223,-3.183611806965461e-07,0.0,0.0758,0.0,0.3792
0.044,99.99981673050566,19.89813658164329,-0.007779154862452037,-6.073658437626543e-10,6.283185299517682,-5.886417482170014e-08,0.17718487025229585,-3.379947009670392e-07,0.0,0.0758,0.0,0.3792
0.048,99.99986304512812,19.895866522989667,-0.007070402848961162,-8.328171808614571e-10,6.283185298061792,-7.035058252740918e-08,0.1642645356992856,-3.5109330236929765e-07,0.0,0.0758,0.0,0.3792
0.052000000000000005,99.99992999007681,19.89396453222526,-0.0064133321689732415,-1.1047785966575188e-09,6.283185296560924,-8.217923258141684e-08,0.1492795422647585,-3.574889248184687e-07,0.0,0.0758,0.0,0.3792
0.056,100.00001903464786,19.892371559213306,-0.00581620145793305,-1.424773100129534e-09,6.2831852950431015,-9.406985384745423e-08,0.13268332134688632,-3.572520497371815e-07,0.0,0.0758,0.0,0.3792
0.06,100.00013132452895,19.891038408732292,-0.005285455626208976,-1.7931362069081363e-09,6.283185293535814,-1.0572993714215602e-07,0.11490732053260624,-3.506672604833656e-07,0.0,0.0758,0.0,0.3792
0.064,100.00026768747658,19.889924189349763,-0.0048258137941542744,-2.2089754237012666e-09,6.283185292065174,-1.1686278473942862e-07,0.09635725870886211,-3.3820667718105565e-07,0.0,0.0758,0.0,0.3792
0.068,100.00042863104514,19.88899498768233,-0.004440372206726423,-2.6701653781868815e-09,6.28318529065518,-1.2717530940872085e-07,0.07741003356836598,-3.205018814564891e-07,0.0,0.0758,0.0,0.3792
0.07200000000000001,100.00061435848349,19.888222736246345,-0.004130719518108787,-3.1733757472904276e-09,6.283185289327098,-1.3638536954974794e-07,0.05841127259637922,-2.9831513834355755e-07,0.0,0.0758,0.0,0.3792
0.076,100.00082477554774,19.887584247998696,-0.0038970618724233504,-3.714128479605674e-09,6.283185288098948,-1.4422857600160908e-07,0.039673509712168695,-2.7251033778763476e-07,0.0,0.0758,0.0,0.3792
0.08,100.00105950866877,19.88706039467983,-0.0037383552779223796,-4.286880851714416e-09,6.28318528698512,-1.5046438021980128e-07,0.021474961901306322,-2.4402439272890645e-07,0.0,0.0758,0.0,0.3792
0.084,100.00131793901629,19.886635409367873,-0.003652442874695967,-4.8851304901829765e-09,6.283185285996094,-1.5488141149031561e-07,0.004058873443000171,-2.1383942650569974e-07,0.0,0.0758,0.0,0.3792
0.088,100.00159920476975,19.88629629767964,-0.0036361948257435874,-5.501538742247425e-09,6.283185285138278,-1.5730191020276243e-07,-0.012366610284461928,-1.829563987627971e-07,0.0,0.0758,0.0,0.3792
0.092,100.00190224199518,19.886032333816086,-0.0036856487114143486,-6.128068509867317e-09,6.28318528441395,-1.57585252415763e-07,-0.027628081965160433,-1.5237034158474798e-07,0.0,0.0758,0.0,0.3792
0.096,100.00222581076109,19.88583465626952,-0.0037961484841035195,-6.756133113151057e-09,6.283185283821293,-1.5563058992556025e-07,-0.041586070466703644,-1.2304764412191632e-07,0.0,0.0758,0.0,0.3792
0.1,100.0025685087639,19.885695906103326,-0.003962480210646683,-7.376752709898711e-09,6.283185283354534,-1.5137842864537308e-07,-0.0541338464235292,-9.590563542986267e-08,0.0,0.0758,0.0,0.3792
0.10400000000000001,100.00292881788232,19.885609944003665,-0.0041790030406378045,-7.980714975740049e-09,6.283185283004151,-1.448113535199773e-07,-0.06519588517484806,-7.179460999659533e-08,0.0,0.0758,0.0,0.3792
0.108,100.00330511893834,19.88557160990948,-0.00443977402505333,-8.558737039428037e-09,6.28318528275716,-1.359538162664048e-07,-0.07472603769799195,-5.148246129427504e-08,0.0,0.0758,0.0,0.3792
0.112,100.003695720084,19.885576526886958,-0.004738665618835337,-9.101625801447089e-09,6.283185282597461,-1.248710603208653e-07,-0.08270545989823437,-3.5642037134426615e-08,0.0,0.0758,0.0,0.3792
0.116,100.0040988885944,19.88562094131494,-0.0050694749006206475,-9.600433921427643e-09,6.283185282506232,-1.1166729242021269e-07,-0.08914034974684143,-2.484112158830985e-08,0.0,0.0758,0.0,0.3792
0.12,100.0045128713063,19.885701593598874,-0.0054260237410092725,-1.0046609158139521e-08,6.28318528246237,-9.648312797318171e-08,-0.0940595401992003,-1.9535153829100805e-08,0.0,0.0758,0.0,0.3792
0.124,100.00493591278546,19.88581561438313,-0.00580224934249264,-1.043213474544466e-08,6.283185282442953,-7.949241377719015e-08,-0.09751199371908938,-2.006258453303565e-08,0.0,0.0758,0.0,0.3792
0.128,100.00536628711986,19.885960441912857,-0.006192284757473191,-1.0749658764005564e-08,6.283185282423718,-6.089856347931614e-08,-0.09956424165565261,-2.6642663309959217e-08,0.0,0.0758,0.0,0.3792
0.132,100.00580231040976,19.886133756810732,-0.006590529163785662,-1.0992610855347053e-08,6.2831852823795575,-4.093044047135286e-08,-0.10029780874922721,-3.937568479419798e-08,0.0,0.0758,0.0,0.3792
0.136,100.00624235779985,19.886333431088897,-0.006991707838240634,-1.1155304597850908e-08,6.283185282285005,-1.983795996183678e-08,-0.09980665975997219,-5.824534777709131e-08,0.0,0.0758,0.0,0.3792
0.14,100.00668488164662,19.886557488711805,-0.007390921916685551,-1.1233024399147365e-08,6.283185282114711,2.112545090100196e-09,-0.09819470169477013,-8.312317680352859e-08,0.0,0.0758,0.0,0.3792
0.14400000000000002,100.00712842060219,19.886804075465935,-0.007783688162974902,-1.1222095794517561e-08,6.2831852818439025,2.4643065562346433e-08,-0.09557337142483388,-1.1377471856730165e-07,0.0,0.0758,0.0,0.3792
0.148,100.00757161437534,19.887071436278287,-0.008165969088415577,-1.1119938440331766e-08,6.283185281448814,4.74686810504664e-08,-0.09205933470582264,-1.4986731000354149e-07,0.0,0.0758,0.0,0.3792
0.152,100.00801321281533,19.88735789846064,-0.008534193867299018,-1.092510133889217e-08,6.283185280907087,7.03022524623073e-08,-0.08777231879610249,-1.9097916094893393e-07,0.0,0.0758,0.0,0.3792
0.156,100.00845207818277,19.88766185964277,-0.008885270582909284,-1.063728015627011e-08,6.283185280198131,9.285898525904657e-08,-0.08283309707397025,-2.3660956931662322e-07,0.0,0.0758,0.0,0.3792
0.16,100.00888719082698,19.88798177939897,-0.009216590412005928,-1.0257316693957133e-08,6.283185279303438,1.148607659216263e-07,-0.07736164033253443,-2.861899620572549e-07,0.0,0.0758,0.0,0.3792
0.164,100.00931765259244,19.888316173771432,-0.009526024414488295,-9.787180969344943e-09,6.28318527820686,1.3604022314828493e-07,-0.07147544582726717,-3.3909555851907126e-07,0.0,0.0758,0.0,0.3792
0.168,100.00974268568326,19.888663612056465,-0.00981191363925132,-9.22993658142428e-09,6.283185276894829,1.56144453590572e-07,-0.06528805170608137,-3.946574066263318e-07,0.0,0.0758,0.0,0.3792
0.17200000000000001,100.01016163947602,19.889022715348602,-0.010073053287764757,-8.589690329713646e-09,6.283185275356536,1.7493837586727342e-07,-0.05890774119944555,-4.5217458872370794e-07,0.0,0.0758,0.0,0.3792
0.176,100.01057397348774,19.88939215643872,-0.010308671694410129,-7.871527265303996e-09,6.283185273584048,1.9220768533855935e-07,-0.05243643791719256,-5.109264059887368e-07,0.0,0.0758,0.0,0.3792
0.18,100.0109792664596,19.889770660739114,-0.010518404888005957,-7.0814325397894955e-09,6.28318527157239,2.0776136727134625e-07,-0.04596879081241031,-5.701843032925678e-07,0.0,0.0758,0.0,0.3792
0.184,100.01137720727328,19.890157007966668,-0.01070226749318629,-6.22620167153429e-09,6.2831852693195644,2.2143374660701465e-07,-0.039591444848793664,-6.29223341102063e-07,0.0,0.0758,0.0,0.3792
0.188,100.01176758700258,19.890550034357982,-0.010860620714447313,-5.3133410199581606e-09,6.2831852668265356,2.3308611077638294e-07,-0.03338249115863658,-6.873331695220448e-07,0.0,0.0758,0.0,0.3792
0.192,100.01215029096518,19.89094863522143,-0.010994138120824507,-4.3509601860123925e-09,6.283185264097158,2.42607837619893e-07,-0.027411088511815673,-7.438281926296087e-07,0.0,0.0758,0.0,0.3792
0.196,100.01252529645171,19.891351767654943,-0.011103769916444146,-3.347658406664099e-09,6.283185261138076,2.499171102870497e-07,-0.021737246234742463,-7.980569943605712e-07,0.0,0.0758,0.0,0.3792
0.2,100.01289266137105,19.89175845327606,-0.011190706342749143,-2.312406734363125e-09,6.283185257958577,2.549611513374218e-07,-0.016411757321102744,-8.494107214901411e-07,0.0,0.0758,0.0,0.3792
0.20400000000000001,100.01325251403117,19.892167780826167,-0.011256340813167695,-1.2544281190605316e-09,6.283185254570411,2.5771606424909537e-07,-0.011476269358187912,-8.973305203279072e-07,0.0,0.0758,0.0,0.3792
0.20800000000000002,100.01360505086807,19.892578908525014,-0.011302233331485688,-1.830771818951507e-10,6.2831852509875885,2.58186265910651e-07,-0.0069634800452335905,-9.413138687731723e-07,0.0,0.0758,0.0,0.3792
0.212,100.01395051487202,19.892991069923923,-0.011330074694491588,8.922784419008548e-10,6.283185247226145,2.564035423837052e-07,-0.002897443491880048,-9.8091981194198e-07,0.0,0.0758,0.0,0.3792
0.216,100.01428920353575,19.893403556138658,-0.011341651906624915,1.962373495735608e-09,6.283185243303887,2.524258333205879e-07,0.0007060268599490665,-1.0157730164020845e-06,0.0,0.0758,0.0,0.3792
0.22,100.01462144614511,19.893815755533353,-0.011338815239307184,3.0181555660671886e-09,6.283185239240129,2.463355198223041e-07,0.003838872957856265,-1.0455667486876657e-06,0.0,0.0758,0.0,0.3792
0.224,100.0149476026436,19.894227116468915,-0.011323447187979162,4.0508892614143e-09,6.2831852350554085,2.382377013957507e-07,0.00650023867225361,-1.0700646555861971e-06,0.0,0.0758,0.0,0.3792
0.228,100.01526805341314,19.89463716076022,-0.011297433672173441,5.052252747409268e-09,6.283185230771202,2.2825808798289545e-07,0.00869586206476517,-1.0891015596420621e-06,0.0,0.0758,0.0,0.3792
0.232,100.01558319473223,19.895045490642655,-0.011262637663228534,6.01442568956751e-09,6.283185226409638,2.1654067820549435e-07,0.010437426771302051,-1.1025830902822489e-06,0.0,0.0758,0.0,0.3792
0.23600000000000002,100.0158934319631,19.895451775245107,-0.011220875395199847,6.930167527127779e-09,6.283185221993208,2.0324540521382106e-07,0.011741885361631468,-1.110484442152684e-06,0.0,0.0758,0.0,0.3792
0.24,100.01619915911328,19.895855754404963,-0.011173895292553929,7.792885571866536e-09,6.283185217544488,1.88545567028815e-07,0.012630766767750356,-1.1128481274734914e-06,0.0,0.0758,0.0,0.3792
0.244,100.0165007724613,19.89625723458578,-0.011123359664029024,8.596692269764928e-09,6.283185213085865,1.7262523898814452e-07,0.013129479019116087,-1.1097809580440198e-06,0.0,0.0758,0.0,0.3792
0.248,100.01679866033733,19.89665608543035,-0.011070829186244828,9.336451426470858e-09,6.283185208639279,1.556766302174327e-07,0.013266617627283211,-1.1014502336891792e-06,0.0,0.0758,0.0,0.3792
0.252,100.0170931894977,19.897052235786724,-0.011017750153775471,1.0007813193385876e-08,6.283185204225983,1.3789745533410343e-07,0.013073288955236243,-1.088079304750656e-06,0.0,0.0758,0.0,0.3792
0.256,100.01738470626029,19.89744566927799,-0.010965444435742853,1.0607237906769075e-08,6.283185199866316,1.1948833776852805e-07,0.01258245687753923,-1.0699425590302232e-06,0.0,0.0758,0.0,0.3792
0.26,100.01767353877547,19.897836419495,-0.0109151020457709,1.1132008955677884e-08,6.283185195579496,1.0065028252107054e-07,0.011828319975350722,-1.0473599449539068e-06,0.0,0.0758,0.0,0.3792
0.264,100.01795998567144,19.898224564897003,-0.010867776203158411,1.1580235020568394e-08,6.283185191383445,8.158226456780708e-08,0.010845725439705247,-1.0206911732834154e-06,0.0,0.0758,0.0,0.3792
0.268,100.0182443205961,19.898610223508463,-0.010824380738441091,1.195084222060061e-08,6.283185187294624,6.24789130013653e-08,0.009669624792398425,-9.903295757470152e-07,0.0,0.0758,0.0,0.3792
0.272,100.01852678199782,19.898993547501032,-0.010785689676067143,1.22435566263257e-08,6.283185183327901,4.352838459097672e-08,0.008334575490880403,-9.56695894898327e-07,0.0,0.0758,0.0,0.3792
0.276,100.01880758675108,19.899374717747598,-0.010752338810655253,1.2458877976706625e-08,6.283185179496445,2.491039137457625e-08,0.006874291474580519,-9.202319580886566e-07,0.0,0.0758,0.0,0.3792
0.28,100.01908691312441,19.899753942193527,-0.010724829083093811,1.25980452879091e-08,6.2831851758116395,6.794397800781969e-09,0.005321244746522029,-8.813943525671607e-07,0.0,0.0758,0.0,0.3792
0.28400000000000003,100.01936491440608,19.900131431776853,-0.010703531538149097,1.266299514755938e-08,6.283185172283024,-1.0661878667753925e-08,0.003706319174912707,-8.406482444858765e-07,0.0,0.0758,0.0,0.3792
0.28800000000000003,100.01964170982025,19.90050743413433,-0.010688693697866816,1.2656313648557107e-08,6.283185168918265,-2.731397016309217e-08,0.0020585168630392094,-7.984613707722753e-07,0.0,0.0758,0.0,0.3792
0.292,100.01991739247535,19.90088218706665,-0.010680447066187393,1.2581182814910563e-08,6.28318516572314,-4.3031647428831156e-08,0.0004047166144000573,-7.552982542429646e-07,0.0,0.0758,0.0,0.3792
0.296,100.02019202368666,19.901255938167626,-0.010678815635091975,1.2441322453150357e-08,6.2831851627015585,-5.769991108230078e-08,-0.0012305165674943819,-7.116147894048351e-07,0.0,0.0758,0.0,0.3792
0.3,100.02046564319559,19.901628934628548,-0.01068372513654598,1.2240928393061636e-08,6.283185159855594,-7.121966174882574e-08,-0.00282507279667591,-6.67853145138308e-07,0.0,0.0758,0.0,0.3792
0.304,100.02073826235682,19.902001419484282,-0.010695012862957915,1.1984607978023709e-08,6.28318515718554,-8.350815576542404e-08,-0.004359391682250174,-6.244371190219453e-07,0.0,0.0758,0.0,0.3792
0.308,100.0210098720866,19.902373628273153,-0.010712437865150361,1.1677313755759724e-08,6.283185154689985,-9.449924691347985e-08,-0.005816512557469363,-5.817679351322257e-07,0.0,0.0758,0.0,0.3792
0.312,100.02128044059181,19.90274577971687,-0.010735691347790817,1.1324276220824153e-08,6.283185152365905,-1.0414338569503852e-07,-0.007182083708185704,-5.402205485740857e-07,0.0,0.0758,0.0,0.3792
0.316,100.02154991904732,19.903118094793893,-0.010764407116797787,1.0930936482485364e-08,6.2831851502087686,-1.1240753923691036e-07,-0.008444334056002905,-5.001404116877502e-07,0.0,0.0758,0.0,0.3792
0.32,100.02181824386687,19.90349076693925,-0.01079817188695883,1.0502879558957228e-08,6.283185148212654,-1.1927471041201442e-07,-0.009594010994262214,-4.618408318568028e-07,0.0,0.0758,0.0,0.3792
0.324,100.02208533783863,19.90386397684675,-0.010836535364635292,1.0045769183270254e-08,6.283185146370386,-1.2474347572290884e-07,-0.010624288177038768,-4.256007927605744e-07,0.0,0.0758,0.0,0.3792
0.328,100.02235110898967,19.90423788751251,-0.010879019950804706,9.565284665045142e-09,6.283185144673664,-1.2882726300116705e-07,-0.011530647249258869,-3.916633634479684e-07,0.0,0.0758,0.0,0.3792
0.332,100.02261545966967,19.904612643395055,-0.010925129973024094,9.067060548245849e-09,6.283185143113213,-1.3155352493976708e-07,-0.012310737430357899,-3.6023456717927144e-07,0.0,0.0758,0.0,0.3792
0.336,100.02287828314459,19.90498836992941,-0.010974360355728307,8.556629522982068e-09,6.283185141678937,-1.329627730492234e-07,-0.012964216887957538,-3.314827930361706e-07,0.0,0.0758,0.0,0.3792
0.34,100.0231394704095,19.905365173368114,-0.011026204656022913,8.03936914449471e-09,6.283185140360058,-1.331075055667388e-07,-0.013492579734480228,-3.0553869307982136e-07,0.0,0.0758,0.0,0.3792
0.34400000000000003,100.023398909053,19.90574314091917,-0.011080162407462766,7.520452781460175e-09,6.28318513914528,-1.3205104769801524e-07,-0.013898972349064736,-2.8249554070863344e-07,0.0,0.0758,0.0,0.3792
0.34800000000000003,100.02365648212184,19.90612234114974,-0.011135745729119734,7.004805145771864e-09,6.283185138022932,-1.2986634195505506e-07,-0.01418800255351365,-2.624099707530506e-07,0.0,0.0758,0.0,0.3792
0.352,100.02391208288199,19.906502824623033,-0.011192485171352864,6.497062607739497e-09,6.283185136981121,-1.2663464366698357e-07,-0.014365544962677942,-2.4530323129437526e-07,0.0,0.0758,0.0,0.3792
0.356,100.02416559892207,19.90688462473629,-0.01124993478298058,6.001538690856448e-09,6.283185136007868,-1.224442423936815e-07,-0.014438545592671628,-2.3116264928040617e-07,0.0,0.0758,0.0,0.3792
0.36,100.02441691896618,19.907267758727915,-0.011307676396885282,5.522194649881697e-09,6.283185135091248,-1.1738912416253786e-07,-0.014414828550465346,-2.1994353012607401e-07,0.0,0.0758,0.0,0.3792
0.364,100.02466594877042,19.907652228822755,-0.01136532314237768,5.06261539015279e-09,6.283185134219521,-1.1156764921293962e-07,-0.014302907351382945,-2.115713062066861e-07,0.0,0.0758,0.0,0.3792
0.368,100.02491259295546,19.908038023486114,-0.011422522202829794,4.625990683346807e-09,6.283185133381248,-1.0508125516645419e-07,-0.01411180312233804,-2.0594390521214113e-07,0.0,0.0758,0.0,0.3792
0.372,100.02515675614195,19.908425118758014,-0.011478956846121033,4.2151015967079015e-09,6.283185132565401,-9.803318436206237e-08,-0.013850871653339206,-2.0293433619118935e-07,0.0,0.0758,0.0,0.3792
0.376,100.02539836679537,19.908813479641623,-0.011534347763291162,3.832312060318749e-09,6.283185131761467,-9.052726721630526e-08,-0.013529640962594264,-2.0239340372671198e-07,0.0,0.0758,0.0,0.3792
0.38,100.02563734543293,19.909203061521282,-0.011588453757452601,3.4795653665561473e-09,6.283185130959534,-8.266673627708619e-08,-0.013157660745931983,-2.041526046259223e-07,0.0,0.0758,0.0,0.3792
